Level1,Level2,Level3,Employment,Mean_Hourly_Wage,Mean_Annual_Wage,Hourly_Wage
Management occupations,,,"10,966,830",68.15,"141,760",58.70
Management occupations,Top executives.....................................................................,,"3,822,780",67.24,"139,860",50.48
Management occupations,Top executives.....................................................................,Chief executives..................................................................,"211,850",126.41,"262,930",99.24
Management occupations,Top executives.....................................................................,General and operations managers...................................................,"3,584,420",64.00,"133,120",49.50
Management occupations,Top executives.....................................................................,Legislators.......................................................................,"26,510",(²),"67,390",(²)
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",,"1,122,770",78.72,"163,740",69.48
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Advertising and promotions managers...............................................,"21,100",71.76,"149,270",61.04
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Marketing and sales managers......................................................,"988,680",79.35,"165,050",71.57
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Marketing managers...............................................................,"384,980",82.46,"171,520",77.42
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Sales managers...................................................................,"603,710",77.37,"160,930",66.38
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Public relations and fundraising managers.........................................,"112,980",74.49,"154,950",63.88
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Public relations managers........................................................,"76,060",78.61,"163,520",66.60
Management occupations,"Advertising, marketing, promotions, public relations, and sales managers...........",Fundraising managers.............................................................,"36,920",66.01,"137,290",59.36
Management occupations,Operations specialties managers....................................................,,"2,669,000",77.21,"160,590",67.46
Management occupations,Operations specialties managers....................................................,Administrative services and facilities managers...................................,"395,230",58.62,"121,920",51.39
Management occupations,Operations specialties managers....................................................,Administrative services managers.................................................,"254,140",60.59,"126,030",52.11
Management occupations,Operations specialties managers....................................................,Facilities managers..............................................................,"141,090",55.06,"114,520",50.33
Management occupations,Operations specialties managers....................................................,Computer and information systems managers.........................................,"645,970",90.38,"187,990",82.31
Management occupations,Operations specialties managers....................................................,Financial managers................................................................,"818,620",86.76,"180,470",77.74
Management occupations,Operations specialties managers....................................................,Industrial production managers....................................................,"234,380",62.11,"129,180",58.39
Management occupations,Operations specialties managers....................................................,Purchasing managers...............................................................,"81,240",72.42,"150,630",67.07
Management occupations,Operations specialties managers....................................................,"Transportation, storage, and distribution managers................................","213,000",55.77,"116,010",49.05
Management occupations,Operations specialties managers....................................................,Compensation and benefits managers................................................,"20,070",75.11,"156,230",67.48
Management occupations,Operations specialties managers....................................................,Human resources managers..........................................................,"215,520",77.15,"160,480",67.32
Management occupations,Operations specialties managers....................................................,Training and development managers.................................................,"44,960",67.59,"140,590",61.10
Management occupations,Other management occupations.......................................................,,"3,352,280",58.44,"121,560",50.01
Management occupations,Other management occupations.......................................................,"Farmers, ranchers, and other agricultural managers................................","5,910",46.75,"97,240",42.30
Management occupations,Other management occupations.......................................................,Construction managers.............................................................,"348,330",57.53,"119,660",51.43
Management occupations,Other management occupations.......................................................,Education and childcare administrators............................................,"621,000",52.63,"109,470",48.39
Management occupations,Other management occupations.......................................................,"Education and childcare administrators, preschool and daycare....................","71,620",30.12,"62,640",27.05
Management occupations,Other management occupations.......................................................,"Education administrators, kindergarten through secondary.........................","319,630",(²),"113,360",(²)
Management occupations,Other management occupations.......................................................,"Education administrators, postsecondary..........................................","176,420",59.83,"124,450",49.98
Management occupations,Other management occupations.......................................................,"Education administrators, all other..............................................","53,330",47.82,"99,460",42.81
Management occupations,Other management occupations.......................................................,Architectural and engineering managers............................................,"210,340",84.48,"175,710",80.64
Management occupations,Other management occupations.......................................................,Food service managers.............................................................,"244,230",34.79,"72,370",31.40
Management occupations,Other management occupations.......................................................,Entertainment and recreation managers.............................................,"41,320",42.68,"88,780",37.33
Management occupations,Other management occupations.......................................................,Gambling managers................................................................,"4,620",49.27,"102,480",41.14
Management occupations,Other management occupations.......................................................,"Entertainment and recreation managers, except gambling...........................","36,700",41.86,"87,060",37.11
Management occupations,Other management occupations.......................................................,Lodging managers..................................................................,"41,350",37.24,"77,460",32.76
Management occupations,Other management occupations.......................................................,Medical and health services managers..............................................,"565,840",66.22,"137,730",56.71
Management occupations,Other management occupations.......................................................,Natural sciences managers.........................................................,"100,870",83.41,"173,500",77.49
Management occupations,Other management occupations.......................................................,Postmasters and mail superintendents..............................................,"13,810",45.08,"93,760",44.58
Management occupations,Other management occupations.......................................................,"Property, real estate, and community association managers.........................","296,640",39.77,"82,720",32.07
Management occupations,Other management occupations.......................................................,Social and community service managers.............................................,"195,490",41.39,"86,100",37.61
Management occupations,Other management occupations.......................................................,Emergency management directors....................................................,"12,570",46.97,"97,700",41.41
Management occupations,Other management occupations.......................................................,Personal service managers.........................................................,"23,610",37.97,"78,970",33.92
Management occupations,Other management occupations.......................................................,Funeral home managers............................................................,"13,120",41.18,"85,650",36.94
Management occupations,Other management occupations.......................................................,"Personal service managers, all other.............................................","10,490",33.95,"70,620",29.49
Management occupations,Other management occupations.......................................................,"Managers, all other...............................................................","630,980",72.06,"149,890",65.65
Business and financial operations occupations,,,"10,351,440",45.04,"93,680",38.90
Business and financial operations occupations,Business operations specialists....................................................,,"7,318,320",43.76,"91,020",38.66
Business and financial operations occupations,Business operations specialists....................................................,"Agents and business managers of artists, performers, and athletes.................","14,220",79.62,"165,600",46.30
Business and financial operations occupations,Business operations specialists....................................................,Buyers and purchasing agents......................................................,"486,900",39.29,"81,720",36.37
